Payment Type,Transaction Time,Settlement Time,Order,Customer Email,Credit Card Number Mask,Refund Amount,Amount,3D Secure,Card Association,Acquiring Bank,Bank On Us/ Off Us,Transaction Fee,Merchant Has,Refund,Payment Options,Coins Share,Transaction ID,TREF ID
qris,"Jun 10 2023, 23:58","Jun 10 2023, 23:59",4798e76b-78f9-47db-bb58-9c89050be565,,,0.0,561814.0,No Auth,,airpay shopee,On us,3932.697999999999438186,557881.302000000000561814,false,,,5e298296-5ad1-4d8c-ab4d-4009c0362993,
gopay,"Jun 11 2023, 06:37","Jun 11 2023, 06:37",a374889b-c5fb-40fa-917d-03089b02ab03,"",,0.0,1439051.0,No Auth,,gojek,,28781.02,1410269.98,false,GOPAY_WALLET,,b9c5c70a-8f85-49ee-b0f9-adc393c9b27d,
gopay,"Jun 11 2023, 06:38","Jun 11 2023, 06:38",373a4ef0-e1df-4a8c-b5d5-fcc65c2d54b0,"",,0.0,2776102.0,No Auth,,gojek,,55522.04,2720579.96,false,GOPAY_WALLET,,2b2ebd04-9c3b-4268-bcb5-788d8bd94f21,
gopay,"Jun 11 2023, 07:47","Jun 11 2023, 07:47",ef3a0895-8163-45ea-8980-784c955eff18,"",,0.0,850000.0,No Auth,,gojek,,17000.0,833000.0,false,GOPAY_WALLET,,9f929fbf-f953-4f53-a65f-e23c5b000338,
gopay,"Jun 11 2023, 21:52","Jun 11 2023, 21:52",558f7629-555e-4407-be7f-b7c443f29edd,"",,0.0,603501.0,No Auth,,gojek,,12070.02,591430.98,false,GOPAY_WALLET,,9244575f-1270-4a78-8c68-c0f20d3bc34c,
bank_transfer,"Jun 12 2023, 00:38","Jun 12 2023, 00:47",ea95ecc4-b9a8-4a79-ab48-1384ff5711b2,"",,0.0,1576089.0,No Auth,,bni,,3850.0,1572239.0,false,,,b55d3c9c-6cf2-4638-949b-3b1103f15741,
bank_transfer,"Jun 12 2023, 02:25","Jun 12 2023, 02:26",d46666a6-27fc-4800-a260-b02d76f04559,"",,0.0,100000.0,No Auth,,bni,,3850.0,96150.0,false,,,69532b92-0dbf-4c2d-8946-b3924f11e994,
bank_transfer,"Jun 12 2023, 02:27","Jun 12 2023, 02:28",f361697b-d944-48d0-b64c-4b1ccbd4a781,"",,0.0,100000.0,No Auth,,bni,,3850.0,96150.0,false,,,c624520a-4408-44eb-89ed-15260324a89f,
bank_transfer,"Jun 12 2023, 06:34","Jun 12 2023, 06:35",da27aab1-ebf0-4bf8-b5ee-620ea294cb36,"",,0.0,1616335.0,No Auth,,bni,,3850.0,1612485.0,false,,,c5829341-fb26-4650-8653-9b3874fdbc82,
bank_transfer,"Jun 12 2023, 06:39","Jun 12 2023, 06:43",ee45c505-4937-4563-a50a-13196902adca,"",,0.0,1041667.0,No Auth,,bni,,3850.0,1037817.0,false,,,7ab51d37-d557-4047-98d0-11aef1167f4d,
bank_transfer,"Jun 12 2023, 06:45","Jun 12 2023, 06:46",9f86b0d2-67b7-492f-9f44-522210e1c3e4,"",,0.0,1625000.0,No Auth,,bni,,3850.0,1621150.0,false,,,3a194164-87aa-4d9d-8b2f-613e29cdcbe4,
bank_transfer,"Jun 12 2023, 07:35","Jun 12 2023, 07:40",9344bf08-c789-42a9-8c3d-3c8a88a531e4,"",,0.0,1220084.0,No Auth,,bni,,3850.0,1216234.0,false,,,0a94f1c8-49ec-4f47-a1a1-ed3f3f767a26,
bank_transfer,"Jun 12 2023, 08:57","Jun 12 2023, 09:02",29cc9fa9-7e8a-48b1-ba37-d8efbb0500d9,"",,0.0,653351.0,No Auth,,bni,,3850.0,649501.0,false,,,e538cf01-ae06-484f-9213-39d5fbe216ea,
bank_transfer,"Jun 12 2023, 11:12","Jun 12 2023, 11:13",8e11e788-d071-4428-9708-550126b140e2,"",,0.0,240000.0,No Auth,,bni,,3850.0,236150.0,false,,,22edad7b-56bc-488b-87d0-2eba99fc09ee,
bank_transfer,"Jun 12 2023, 11:40","Jun 12 2023, 11:41",032c4d6d-c9ca-41bc-940f-35690fa33656,"",,0.0,1140000.0,No Auth,,bni,,3850.0,1136150.0,false,,,ebae367f-2d49-4bd1-9eec-60ec4de5f2e5,
bank_transfer,"Jun 12 2023, 12:24","Jun 12 2023, 12:25",2c4d3e4a-d079-488e-aaca-dd78f60a118b,"",,0.0,591475.0,No Auth,,bni,,3850.0,587625.0,false,,,5e92647f-f748-4e43-a418-d3fc9049eee8,
bank_transfer,"Jun 12 2023, 12:24","Jun 12 2023, 12:27",78fb11cf-eab5-4126-8cd0-c6c23a2cea73,"",,0.0,1616335.0,No Auth,,bni,,3850.0,1612485.0,false,,,10ad334d-1bc2-4f3a-bc83-d82c86f13882,
bank_transfer,"Jun 12 2023, 12:53","Jun 12 2023, 12:55",c1a4d5fa-1d54-4d8c-9a6e-69a097d8f521,"",,0.0,1149500.0,No Auth,,bni,,3850.0,1145650.0,false,,,232b07b0-056a-4ebe-b7da-859e2fdb97d3,
bank_transfer,"Jun 12 2023, 12:55","Jun 12 2023, 12:56",bd7e85e9-0565-44e8-8aed-15f31bae2194,"",,0.0,2500000.0,No Auth,,bni,,3850.0,2496150.0,false,,,c27d17fd-c6bd-4221-b908-6c0539256c03,
bank_transfer,"Jun 12 2023, 13:08","Jun 12 2023, 13:10",9b803f97-05c8-4447-82f0-d714e6d2331f,"",,0.0,539250.0,No Auth,,bni,,3850.0,535400.0,false,,,09e5e09c-a310-42cc-ba1d-f95841609ec3,
