Order,Payment Type,Transaction Time,Settlement Time,Refund Amount,Amount,Acquiring Bank,Transaction Fee,Merchant Has,Refund,Payment Options
3316a8d7-24a2-4317-9b9a-67718b495206,mandiri_bill,"Jun 12 2023, 13:03","Jun 12 2023, 13:05",0.0,1577417.0,mandiri,3850.0,1573567.0,False,
4102bcd7-a1ed-4ebb-8b72-34779bb63213,mandiri_bill,"Jun 12 2023, 13:13","Jun 12 2023, 13:16",0.0,558334.0,mandiri,3850.0,554484.0,False,
1d1ba61a-9385-41e9-8ada-5e389a06b1c4,mandiri_bill,"Jun 12 2023, 13:22","Jun 12 2023, 13:24",0.0,3131946.0,mandiri,3850.0,3128096.0,False,
e6eaec42-31db-4f65-b047-5f8391cb23aa,mandiri_bill,"Jun 12 2023, 14:02","Jun 12 2023, 14:05",0.0,2188300.0,mandiri,3850.0,2184450.0,False,
a467da94-0559-4b89-84e8-cc609728e4ab,mandiri_bill,"Jun 12 2023, 14:03","Jun 12 2023, 14:06",0.0,1290667.0,mandiri,3850.0,1286817.0,False,
f510edc9-3bb5-4036-92a8-dc44bc6d580c,mandiri_bill,"Jun 12 2023, 14:25","Jun 12 2023, 14:26",0.0,939584.0,mandiri,3850.0,935734.0,False,
849668f1-17e7-4864-baad-22f4a255a256,mandiri_bill,"Jun 12 2023, 14:20","Jun 12 2023, 15:08",0.0,403334.0,mandiri,3850.0,399484.0,False,
b6c3577d-279c-4a61-a465-f1cad179013b,mandiri_bill,"Jun 12 2023, 15:16","Jun 12 2023, 15:17",0.0,2185000.0,mandiri,3850.0,2181150.0,False,
36346aec-6497-4b90-9ee6-0e0cc6956a10,mandiri_bill,"Jun 12 2023, 15:39","Jun 12 2023, 15:40",0.0,983007.0,mandiri,3850.0,979157.0,False,
4600f860-0925-44b2-a556-97caf38e4690,mandiri_bill,"Jun 12 2023, 16:50","Jun 12 2023, 16:52",0.0,525000.0,mandiri,3850.0,521150.0,False,
cde33195-c142-4090-97c3-78f1cbe2a8f6,mandiri_bill,"Jun 12 2023, 17:28","Jun 12 2023, 17:32",0.0,1128889.0,mandiri,3850.0,1125039.0,False,
d0ab023e-4afc-4a08-bd0e-bb664aec6f6e,mandiri_bill,"Jun 12 2023, 17:44","Jun 12 2023, 17:47",0.0,2133333.0,mandiri,3850.0,2129483.0,False,
81e1273d-6a92-4901-bd36-6294002ccc6f,mandiri_bill,"Jun 12 2023, 18:27","Jun 12 2023, 18:28",0.0,473559.0,mandiri,3850.0,469709.0,False,
2f247c5b-0da9-45f2-91e2-698a9cb4943e,mandiri_bill,"Jun 12 2023, 18:32","Jun 12 2023, 18:33",0.0,851760.0,mandiri,3850.0,847910.0,False,
263b99bf-8ab7-4702-a74c-2e8734f4aedc,mandiri_bill,"Jun 12 2023, 18:33","Jun 12 2023, 18:44",0.0,806667.0,mandiri,3850.0,802817.0,False,
b0a0bdb4-5172-4dbb-99ae-cd82f1e60ee5,mandiri_bill,"Jun 12 2023, 18:36","Jun 12 2023, 18:58",0.0,791666.0,mandiri,3850.0,787816.0,False,
97a7e9db-4514-473b-87e7-48faa2a7511a,mandiri_bill,"Jun 12 2023, 19:30","Jun 12 2023, 19:32",0.0,300000.0,mandiri,3850.0,296150.0,False,
186a05b3-4191-469a-a7d9-c75897322587,mandiri_bill,"Jun 12 2023, 20:50","Jun 12 2023, 20:51",0.0,1605334.0,mandiri,3850.0,1601484.0,False,
f44a8c17-ed39-431a-99d4-505d8982a4c9,mandiri_bill,"Jun 12 2023, 21:58","Jun 12 2023, 22:00",0.0,1154223.0,mandiri,3850.0,1150373.0,False,
fd7c4015-a3d2-4d20-9264-1bd5b455da5e,mandiri_bill,"Jun 12 2023, 22:12","Jun 12 2023, 22:14",0.0,163110.0,mandiri,3850.0,159260.0,False,
738ad56e-f2a4-4a9c-a7c5-f74e7767ae06,mandiri_bill,"Jun 12 2023, 22:14","Jun 12 2023, 22:15",0.0,163110.0,mandiri,3850.0,159260.0,False,
82b64842-2b1d-4599-bcaa-ee8a7bb7d3d2,mandiri_bill,"Jun 12 2023, 22:16","Jun 12 2023, 22:18",0.0,163110.0,mandiri,3850.0,159260.0,False,
eb1eaa76-1067-459d-b682-26d2d024a22d,mandiri_bill,"Jun 12 2023, 22:19","Jun 12 2023, 22:20",0.0,163110.0,mandiri,3850.0,159260.0,False,
1947c6d0-ac09-448e-b4ea-6bccfd2adc06,mandiri_bill,"Jun 12 2023, 22:21","Jun 12 2023, 22:21",0.0,163110.0,mandiri,3850.0,159260.0,False,
4d4384c3-bb1a-4759-a378-a7563e27deba,mandiri_bill,"Jun 12 2023, 23:18","Jun 12 2023, 23:18",0.0,627867.0,mandiri,3850.0,624017.0,False,
9e76af4e-f923-434a-8315-29fd32bd4b3b,mandiri_bill,"Jun 12 2023, 23:23","Jun 12 2023, 23:26",0.0,5333333.0,mandiri,3850.0,5329483.0,False,
